"April 13, 2021 at 09:14PM",ece477,100118,71.96936F,50.55%,233
"April 13, 2021 at 09:44PM",ece477,100119,71.87333F,50.00%,238
"April 13, 2021 at 10:14PM",ece477,100120,71.84132F,50.61%,237
"April 13, 2021 at 10:44PM",ece477,100121,71.71327F,50.91%,226
"April 13, 2021 at 11:14PM",ece477,100122,71.55322F,51.04%,226
"April 13, 2021 at 11:44PM",ece477,100123,71.55322F,50.96%,226
"April 14, 2021 at 12:14AM",ece477,100124,71.4892F,50.87%,228
"April 14, 2021 at 12:44AM",ece477,100125,71.32914F,51.08%,231
"April 14, 2021 at 01:14AM",ece477,100126,71.26512F,51.15%,228
"April 14, 2021 at 01:44AM",ece477,100127,71.13707F,51.48%,230
"April 14, 2021 at 02:14AM",ece477,100128,71.04104F,51.73%,227
"April 14, 2021 at 02:44AM",ece477,100129,70.913F,51.36%,233
"April 14, 2021 at 03:14AM",ece477,100130,70.68892F,51.75%,230
"April 14, 2021 at 03:44AM",ece477,100131,70.52886F,52.26%,227
"April 14, 2021 at 04:14AM",ece477,100132,70.17674F,51.73%,229
"April 14, 2021 at 04:44AM",ece477,100133,69.79261F,51.75%,235
"April 14, 2021 at 05:14AM",ece477,100134,69.60055F,51.82%,240
"April 14, 2021 at 05:44AM",ece477,100135,69.24843F,51.72%,240
"April 14, 2021 at 06:14AM",ece477,100136,68.96033F,51.67%,237
"April 14, 2021 at 06:44AM",ece477,100137,68.54419F,51.68%,223
"April 14, 2021 at 07:14AM",ece477,100138,68.35212F,52.09%,227
"April 14, 2021 at 07:44AM",ece477,100139,68.67223F,51.54%,235
"April 14, 2021 at 08:14AM",ece477,100140,69.21642F,50.19%,234
"April 14, 2021 at 08:44AM",ece477,100141,69.82462F,49.96%,250
"April 14, 2021 at 09:14AM",ece477,100142,70.46484F,50.46%,243
"April 14, 2021 at 09:44AM",ece477,100143,70.97702F,50.95%,240
"April 14, 2021 at 10:14AM",ece477,100144,71.32914F,51.29%,238
"April 14, 2021 at 10:44AM",ece477,100145,71.4892F,51.18%,230
"April 14, 2021 at 11:14AM",ece477,100146,71.64925F,50.73%,218
"April 14, 2021 at 11:44AM",ece477,100147,72.16142F,49.97%,212
"April 14, 2021 at 12:14PM",ece477,100148,73.47388F,47.96%,180
"April 14, 2021 at 12:44PM",ece477,100149,73.89001F,46.02%,175
"April 14, 2021 at 01:14PM",ece477,100150,73.89001F,45.38%,178
"April 14, 2021 at 01:44PM",ece477,100151,73.60191F,45.70%,177
"April 14, 2021 at 02:14PM",ece477,100152,72.70561F,46.45%,176
"April 14, 2021 at 02:44PM",ece477,100153,72.35349F,47.31%,194
"April 14, 2021 at 03:14PM",ece477,100154,72.0974F,48.34%,188
"April 14, 2021 at 03:44PM",ece477,100155,71.80931F,48.39%,207
"April 14, 2021 at 04:14PM",ece477,100156,71.4892F,45.56%,222
"April 14, 2021 at 04:44PM",ece477,100157,71.13707F,43.87%,191
"April 14, 2021 at 05:14PM",ece477,100158,71.16909F,44.82%,181
"April 14, 2021 at 05:44PM",ece477,100159,71.58523F,46.03%,208
"April 14, 2021 at 06:14PM",ece477,100160,71.64925F,45.65%,194
"April 14, 2021 at 06:44PM",ece477,100161,71.5212F,45.50%,192
"April 14, 2021 at 07:14PM",ece477,100162,71.32914F,45.55%,194
"April 14, 2021 at 07:44PM",ece477,100163,71.2011F,45.45%,192
"April 14, 2021 at 08:14PM",ece477,100164,71.07305F,45.58%,195
"April 14, 2021 at 08:44PM",ece477,100165,70.94501F,45.56%,192
"April 14, 2021 at 09:14PM",ece477,100166,70.72093F,45.48%,188
"April 14, 2021 at 09:44PM",ece477,100167,70.56087F,45.63%,187
"April 14, 2021 at 10:14PM",ece477,100168,70.46484F,46.25%,193
"April 14, 2021 at 10:44PM",ece477,100169,70.27277F,46.22%,189
"April 14, 2021 at 11:14PM",ece477,100170,69.92065F,45.98%,192
"April 14, 2021 at 11:44PM",ece477,100171,69.60055F,46.45%,187
"April 15, 2021 at 12:14AM",ece477,100172,69.1844F,47.87%,178
"April 15, 2021 at 12:44AM",ece477,100173,68.76827F,45.56%,177
"April 15, 2021 at 01:14AM",ece477,100174,68.48016F,46.35%,176
"April 15, 2021 at 01:44AM",ece477,100175,68.19206F,46.88%,163
"April 15, 2021 at 02:14AM",ece477,100176,67.93598F,46.52%,174
"April 15, 2021 at 02:44AM",ece477,100177,67.67989F,46.93%,172
"April 15, 2021 at 03:14AM",ece477,100178,67.45581F,46.44%,175
"April 15, 2021 at 03:44AM",ece477,100179,67.29576F,46.64%,175
"April 15, 2021 at 04:14AM",ece477,100180,67.19972F,46.85%,170
"April 15, 2021 at 04:44AM",ece477,100181,67.03968F,46.59%,173
"April 15, 2021 at 05:14AM",ece477,100182,66.78359F,46.43%,161
"April 15, 2021 at 05:44AM",ece477,100183,66.59153F,46.90%,166
"April 15, 2021 at 06:14AM",ece477,100184,66.27141F,46.63%,162
"April 15, 2021 at 06:44AM",ece477,100185,66.17538F,48.20%,176
"April 15, 2021 at 07:14AM",ece477,100186,65.9513F,46.84%,170
"April 15, 2021 at 07:44AM",ece477,100187,65.98331F,46.62%,165
"April 15, 2021 at 08:14AM",ece477,100188,66.01532F,46.46%,167
"April 15, 2021 at 08:44AM",ece477,100189,66.07934F,46.09%,161
"April 15, 2021 at 09:14AM",ece477,100190,66.39946F,46.27%,176
"April 15, 2021 at 09:44AM",ece477,100191,66.65554F,46.36%,171
"April 15, 2021 at 10:14AM",ece477,100192,66.75157F,46.40%,170
"April 15, 2021 at 10:44AM",ece477,100193,67.03968F,45.84%,178
"April 15, 2021 at 11:14AM",ece477,100194,67.55185F,45.81%,177
"April 15, 2021 at 11:44AM",ece477,100195,68.12805F,45.73%,181
"April 15, 2021 at 12:14PM",ece477,100196,68.99234F,45.73%,168
"April 15, 2021 at 12:44PM",ece477,100197,69.53652F,45.63%,151
"April 15, 2021 at 01:14PM",ece477,100198,70.11272F,44.65%,144
"April 15, 2021 at 01:44PM",ece477,100199,70.0487F,47.69%,165
"April 15, 2021 at 02:14PM",ece477,100200,69.60055F,48.81%,207
"April 15, 2021 at 02:44PM",ece477,100201,69.34446F,48.52%,208
"April 15, 2021 at 03:14PM",ece477,100202,69.08837F,48.76%,208
"April 15, 2021 at 03:44PM",ece477,100203,68.99234F,48.50%,212
"April 15, 2021 at 04:14PM",ece477,100204,69.08837F,49.59%,253
"April 15, 2021 at 04:44PM",ece477,100205,69.60055F,51.92%,291
"April 15, 2021 at 05:14PM",ece477,100206,69.79261F,52.55%,273
"April 15, 2021 at 05:44PM",ece477,100207,69.72859F,51.79%,259
"April 15, 2021 at 06:14PM",ece477,100208,69.44049F,51.49%,247
"April 15, 2021 at 06:44PM",ece477,100209,69.21642F,50.99%,250
"April 15, 2021 at 07:14PM",ece477,100210,69.02435F,50.80%,257
"April 15, 2021 at 07:44PM",ece477,100211,68.8643F,51.14%,254
"April 15, 2021 at 08:14PM",ece477,100212,69.15239F,51.81%,281
"April 15, 2021 at 08:44PM",ece477,100213,69.50452F,52.05%,283
"April 15, 2021 at 09:14PM",ece477,100214,69.66457F,51.70%,272
"April 15, 2021 at 09:44PM",ece477,100215,69.28044F,51.39%,240
"April 15, 2021 at 10:14PM",ece477,100216,69.21642F,51.67%,244
"April 15, 2021 at 10:44PM",ece477,100217,69.34446F,52.64%,256
"April 15, 2021 at 11:14PM",ece477,100218,69.60055F,53.74%,267
"April 15, 2021 at 11:44PM",ece477,100219,69.7606F,53.44%,256
"April 16, 2021 at 12:14AM",ece477,100220,69.50452F,53.31%,245
"April 16, 2021 at 12:44AM",ece477,100221,69.1844F,53.01%,242
"April 16, 2021 at 01:14AM",ece477,100222,69.08837F,52.80%,240
"April 16, 2021 at 01:44AM",ece477,100223,68.80028F,52.63%,235
"April 16, 2021 at 02:14AM",ece477,100224,68.54419F,52.29%,238
"April 16, 2021 at 02:44AM",ece477,100225,68.35212F,52.98%,236
"April 16, 2021 at 03:14AM",ece477,100226,68.0F,51.88%,237
"April 16, 2021 at 03:44AM",ece477,100227,67.7119F,51.81%,226
"April 16, 2021 at 04:14AM",ece477,100228,67.4238F,51.97%,234
"April 16, 2021 at 04:44AM",ece477,100229,67.26375F,51.93%,226
"April 16, 2021 at 05:14AM",ece477,100230,67.13571F,51.69%,223
"April 16, 2021 at 05:44AM",ece477,100231,66.97565F,51.28%,209
"April 16, 2021 at 06:14AM",ece477,100232,66.8156F,51.35%,219
"April 16, 2021 at 06:44AM",ece477,100233,66.59153F,51.34%,209
"April 16, 2021 at 07:14AM",ece477,100234,66.68756F,50.65%,211
"April 16, 2021 at 07:44AM",ece477,100235,66.97565F,50.97%,211
"April 16, 2021 at 08:14AM",ece477,100236,67.48783F,50.49%,215
"April 16, 2021 at 08:44AM",ece477,100237,68.12805F,50.49%,236
"April 16, 2021 at 09:14AM",ece477,100238,68.76827F,51.83%,250
"April 16, 2021 at 09:44AM",ece477,100239,69.24843F,50.70%,241
"April 16, 2021 at 10:14AM",ece477,100240,69.56853F,50.77%,240
"April 16, 2021 at 10:44AM",ece477,100241,69.69658F,50.50%,235
"April 16, 2021 at 11:14AM",ece477,100242,70.01668F,49.46%,231
"April 16, 2021 at 11:44AM",ece477,100243,70.65691F,48.66%,208
"April 16, 2021 at 12:14PM",ece477,100244,71.45719F,47.67%,187
"April 16, 2021 at 12:44PM",ece477,100245,72.22545F,47.56%,194
"April 16, 2021 at 01:14PM",ece477,100246,72.64159F,47.32%,202
"April 16, 2021 at 01:44PM",ece477,100247,72.44953F,47.16%,203
"April 16, 2021 at 02:14PM",ece477,100248,72.03338F,48.59%,252
"April 16, 2021 at 02:44PM",ece477,100249,71.96936F,48.43%,251
"April 16, 2021 at 03:14PM",ece477,100250,71.84132F,49.29%,251
"April 16, 2021 at 03:44PM",ece477,100251,71.77729F,50.26%,262
"April 16, 2021 at 04:14PM",ece477,100252,71.80931F,50.60%,341
"April 16, 2021 at 04:44PM",ece477,100253,71.74529F,50.85%,436
"April 16, 2021 at 05:14PM",ece477,100254,71.87333F,50.84%,430
"April 16, 2021 at 05:44PM",ece477,100255,71.93735F,50.87%,394
"April 16, 2021 at 06:14PM",ece477,100256,71.80931F,50.71%,349
"April 16, 2021 at 06:44PM",ece477,100257,71.58523F,50.12%,319
"April 16, 2021 at 07:14PM",ece477,100258,71.23311F,49.59%,294
"April 16, 2021 at 07:44PM",ece477,100259,71.13707F,49.75%,295
"April 16, 2021 at 08:14PM",ece477,100260,71.04104F,49.03%,275
"April 16, 2021 at 08:44PM",ece477,100261,70.88099F,49.21%,271
"April 16, 2021 at 09:14PM",ece477,100262,70.75294F,49.07%,260
"April 16, 2021 at 09:44PM",ece477,100263,70.52886F,49.18%,256
"April 16, 2021 at 10:14PM",ece477,100264,70.20875F,49.34%,252
"April 16, 2021 at 10:44PM",ece477,100265,69.92065F,49.39%,250
"April 16, 2021 at 11:14PM",ece477,100266,69.82462F,48.84%,250
"April 16, 2021 at 11:44PM",ece477,100267,69.69658F,49.91%,256
"April 17, 2021 at 12:14AM",ece477,100268,69.60055F,49.25%,243
"April 17, 2021 at 12:44AM",ece477,100269,69.37647F,49.35%,243
"April 17, 2021 at 01:14AM",ece477,100270,69.21642F,49.34%,234
"April 17, 2021 at 01:44AM",ece477,100271,68.8643F,49.60%,231
"April 17, 2021 at 02:14AM",ece477,100272,68.83228F,49.45%,231
"April 17, 2021 at 02:44AM",ece477,100273,68.67223F,49.76%,231
"April 17, 2021 at 03:14AM",ece477,100274,68.54419F,49.41%,225
"April 17, 2021 at 03:44AM",ece477,100275,68.19206F,49.44%,211
"April 17, 2021 at 04:14AM",ece477,100276,67.83995F,49.22%,208
"April 17, 2021 at 04:44AM",ece477,100277,67.61587F,48.90%,209
"April 17, 2021 at 05:14AM",ece477,100278,67.32778F,48.72%,216
"April 17, 2021 at 05:44AM",ece477,100279,67.07169F,48.78%,210
"April 17, 2021 at 06:14AM",ece477,100280,66.75157F,48.64%,209
"April 17, 2021 at 06:44AM",ece477,100281,66.71956F,49.00%,218
"April 17, 2021 at 07:14AM",ece477,100282,66.59153F,49.15%,208
"April 17, 2021 at 07:44AM",ece477,100283,66.68756F,49.22%,209
"April 17, 2021 at 08:14AM",ece477,100284,66.97565F,49.17%,233
"April 17, 2021 at 08:44AM",ece477,100285,67.16772F,49.21%,229
"April 17, 2021 at 09:14AM",ece477,100286,67.32778F,49.76%,209
"April 17, 2021 at 09:44AM",ece477,100287,67.58386F,49.18%,229
"April 17, 2021 at 10:14AM",ece477,100288,68.09603F,49.37%,236
"April 17, 2021 at 10:44AM",ece477,100289,68.5762F,49.28%,236
"April 17, 2021 at 11:14AM",ece477,100290,68.92831F,48.91%,233
"April 17, 2021 at 11:44AM",ece477,100291,69.53652F,49.47%,252
"April 17, 2021 at 12:14PM",ece477,100292,70.36881F,47.77%,241
"April 17, 2021 at 12:44PM",ece477,100293,71.07305F,49.46%,240
"April 17, 2021 at 01:14PM",ece477,100294,71.23311F,48.91%,215
"April 17, 2021 at 01:44PM",ece477,100295,70.97702F,48.08%,256
"April 17, 2021 at 02:14PM",ece477,100296,70.68892F,49.51%,261
"April 17, 2021 at 02:44PM",ece477,100297,70.46484F,49.54%,258
"April 17, 2021 at 03:14PM",ece477,100298,70.30479F,49.11%,256
"April 17, 2021 at 03:44PM",ece477,100299,70.11272F,49.55%,258
"April 17, 2021 at 04:14PM",ece477,100300,69.92065F,49.14%,254
"April 17, 2021 at 04:44PM",ece477,100301,69.72859F,48.80%,243
"April 17, 2021 at 05:14PM",ece477,100302,69.63256F,48.53%,244
"April 17, 2021 at 05:44PM",ece477,100303,69.56853F,48.80%,268
"April 17, 2021 at 06:14PM",ece477,100304,69.40848F,50.03%,267
"April 17, 2021 at 06:44PM",ece477,100305,69.31245F,48.01%,262
"April 17, 2021 at 07:14PM",ece477,100306,69.02435F,47.97%,258
"April 17, 2021 at 07:44PM",ece477,100307,68.76827F,47.79%,251
"April 17, 2021 at 08:14PM",ece477,100308,68.44815F,47.84%,242
"April 17, 2021 at 08:44PM",ece477,100309,68.22408F,47.82%,237
"April 17, 2021 at 09:14PM",ece477,100310,67.90397F,47.87%,236
"April 17, 2021 at 09:44PM",ece477,100311,67.7119F,47.67%,237
"April 17, 2021 at 10:14PM",ece477,100312,67.7119F,47.79%,235
"April 17, 2021 at 10:44PM",ece477,100313,67.80794F,47.99%,237
"April 17, 2021 at 11:14PM",ece477,100314,67.74391F,47.92%,230
"April 17, 2021 at 11:44PM",ece477,100315,67.7119F,48.36%,235
"April 18, 2021 at 12:14AM",ece477,100316,67.58386F,47.89%,229
"April 18, 2021 at 12:44AM",ece477,100317,67.29576F,48.09%,225
"April 18, 2021 at 01:14AM",ece477,100318,67.16772F,48.40%,225
"April 18, 2021 at 01:44AM",ece477,100319,66.87962F,48.55%,217
"April 18, 2021 at 02:14AM",ece477,100320,66.68756F,48.75%,212
"April 18, 2021 at 02:44AM",ece477,100321,66.49549F,48.77%,222
"April 18, 2021 at 03:14AM",ece477,100322,66.30342F,49.24%,215
"April 18, 2021 at 03:44AM",ece477,100323,66.20739F,49.21%,222
"April 18, 2021 at 04:14AM",ece477,100324,65.91929F,49.51%,219
"April 18, 2021 at 04:44AM",ece477,100325,65.75923F,49.07%,218
"April 18, 2021 at 05:14AM",ece477,100326,65.6632F,48.86%,210
"April 18, 2021 at 05:44AM",ece477,100327,65.3751F,48.98%,214
"April 18, 2021 at 06:14AM",ece477,100328,65.21505F,48.96%,212
"April 18, 2021 at 06:44AM",ece477,100329,65.18304F,48.87%,213
"April 18, 2021 at 07:14AM",ece477,100330,65.21505F,48.99%,214
"April 18, 2021 at 07:44AM",ece477,100331,65.31108F,48.68%,214
"April 18, 2021 at 08:14AM",ece477,100332,65.75923F,48.93%,230
"April 18, 2021 at 08:44AM",ece477,100333,66.43147F,48.76%,240
"April 18, 2021 at 09:14AM",ece477,100334,66.97565F,48.70%,249
"April 18, 2021 at 09:44AM",ece477,100335,67.55185F,49.12%,255
"April 18, 2021 at 10:14AM",ece477,100336,68.03201F,49.00%,257
"April 18, 2021 at 10:44AM",ece477,100337,68.54419F,48.40%,256
"April 18, 2021 at 11:14AM",ece477,100338,68.96033F,48.28%,253
"April 18, 2021 at 11:44AM",ece477,100339,69.37647F,47.00%,238
"April 18, 2021 at 11:58AM",ece477,1,5000F,5000%,50000
"April 18, 2021 at 11:58AM",ece477,1,5000F,5000%,50000
"April 18, 2021 at 12:02PM",ece477,1,5000F,5`00%,50000
"April 18, 2021 at 12:03PM",ece477,1,5000F,5000%,50000
"April 18, 2021 at 12:05PM",ece477,1,5000F,5000%,50000
"April 18, 2021 at 12:06PM",ece477,1%7C%7�%7C5000F,u000%,50000,
"April 18, 2021 at 12:08PM",ece477,1%7�%7C%7C5000F,5000%,50000,
"April 18, 2021 at 12:09PM",ece477,1I7C||5000F,5000%,50000,
"April 18, 2021 at 12:09PM",ece477,1,5000F,5000%,50000
"April 18, 2021 at 12:11PM",ece477,1,5000F,,50000
"April 18, 2021 at 12:12PM",ece477,1,50p0F,5000%,50000
"April 18, 2021 at 12:14PM",ece477,100340,70.30479F,48.55%,244
"April 18, 2021 at 12:44PM",ece477,100341,71.07305F,47.98%,243
"April 18, 2021 at 01:14PM",ece477,100342,71.42517F,48.34%,225
"April 18, 2021 at 01:44PM",ece477,100343,71.2011F,48.37%,223
"April 18, 2021 at 02:14PM",ece477,100344,70.68892F,49.53%,259
"April 18, 2021 at 02:44PM",ece477,100345,70.36881F,49.76%,256
"April 18, 2021 at 03:14PM",ece477,100346,70.27277F,50.10%,281
"April 18, 2021 at 03:44PM",ece477,100347,70.27277F,50.49%,282
"April 18, 2021 at 04:14PM",ece477,100348,70.30479F,49.96%,278
"April 18, 2021 at 04:23PM",ece477,1,73F,30%,50000
"April 18, 2021 at 04:23PM",ece477,d,73F,30%,50000
"April 18, 2021 at 04:23PM",ece477,3,73F,30%,50000
"April 18, 2021 at 04:23PM",ece477,4,73F,30%,50000
"April 18, 2021 at 04:24PM",ece477,5,73F,30%,50000
"April 18, 2021 at 04:24PM",ece477,6�7C||73F,,50000,
"April 18, 2021 at 04:24PM",ece477,,30%,50000,
"April 18, 2021 at 04:24PM",ece477,1,73F,30%,50000
"April 18, 2021 at 04:25PM",ece477,2,73F,30%,50000
"April 18, 2021 at 04:25PM",ece477,1,73F,30%,50000
"April 18, 2021 at 04:25PM",ece477,2%7C%7C%7�73Ffval�e2=31%25,,50000,
"April 18, 2021 at 04:26PM",ece477,4,73F,31%,50000
"April 18, 2021 at 04:26PM",ece477,,31%,50000,
"April 18, 2021 at 04:26PM",ece477,1,73F,31%,50000
"April 18, 2021 at 04:27PM",ece477,2,73F,31%,50000
"April 18, 2021 at 04:27PM",ece477,3,73F,31%,50000
"April 18, 2021 at 04:27PM",ece477,,30%,50000,
"April 18, 2021 at 04:27PM",ece477,5,73F,31%,50000
"April 18, 2021 at 04:28PM",ece477,6,73F,31%,50000
"April 18, 2021 at 04:44PM",ece477,100349,70.27277F,50.33%,272
"April 18, 2021 at 04:52PM",ece477,1,73F,31%,50000
"April 18, 2021 at 04:53PM",ece477,1,73F,,50000
"April 18, 2021 at 04:55PM",ece477,1,73F,30%,50000
"April 18, 2021 at 05:00PM",ece477,1,73F,30%,50000
"April 18, 2021 at 05:04PM",ece477,1,73F,,50000
"April 18, 2021 at 05:07PM",ece477,2,73F,30%,50000
"April 18, 2021 at 05:10PM",ece477,3,73F,31%,50000
"April 18, 2021 at 05:14PM",ece477,100350,70.17674F,49.73%,267
"April 18, 2021 at 05:17PM",ece477,1,73F,31%,50000
"April 18, 2021 at 05:19PM",ece477,2||E7C73F,31%,50000,
"April 18, 2021 at 05:22PM",ece477,3,73F,30%,50000
"April 18, 2021 at 05:27PM",ece477,5,73F,32%,50000
"April 18, 2021 at 05:30PM",ece477,6,73F,,50000
"April 18, 2021 at 05:32PM",ece477,7,73F,31%,50000
"April 18, 2021 at 05:35PM",ece477,8,73F,32%,50000
"April 18, 2021 at 05:38PM",ece477,9,73F,32%,50000
"April 18, 2021 at 05:40PM",ece477,10,73F,33%,50000
"April 18, 2021 at 05:43PM",ece477,11,73F,,50000
"April 18, 2021 at 05:44PM",ece477,100351,70.11272F,49.72%,269
"April 18, 2021 at 05:46PM",ece477,,34%,50000,
"April 18, 2021 at 05:48PM",ece477,13\||73F,34%,50000,
"April 18, 2021 at 05:51PM",ece477,14,73F,34%,50000
"April 18, 2021 at 05:53PM",ece477,15,73F,35%,50000
"April 18, 2021 at 05:56PM",ece477,16,73F,34%,50000
"April 18, 2021 at 05:59PM",ece477,,34%,50000,
"April 18, 2021 at 06:01PM",ece477,18,73F,34%,50000
"April 18, 2021 at 06:04PM",ece477,19,73F,33%,50000
"April 18, 2021 at 06:06PM",ece477,20E7C||75F,,50000,
"April 18, 2021 at 06:09PM",ece477,21,75F,33%,50000
"April 18, 2021 at 06:12PM",ece477,22,75F,33%,50000
"April 18, 2021 at 06:14PM",ece477,100352,69.98468F,49.61%,261
"April 18, 2021 at 06:14PM",ece477,23,75F,32%,50000
"April 18, 2021 at 06:17PM",ece477,24J7C||75F,32%,50000,
"April 18, 2021 at 06:19PM",ece477,25,75F,32%,50000
"April 18, 2021 at 06:22PM",ece477,26,75F,32%,50000
"April 18, 2021 at 06:25PM",ece477,27,75F,31%,50000
"April 18, 2021 at 06:27PM",ece477,28,75F,31%,50000
"April 18, 2021 at 06:30PM",ece477,29,75F,31%,50000
